"old_version","new_version","old_file","new_file"
"01","20260226120000","01_schema.sql","20260226120000_schema.sql"
"02","20260226120001","02_helper_functions.sql","20260226120001_helper_functions.sql"
"03","20260226120002","03_rls.sql","20260226120002_rls.sql"
"04","20260226120003","04_seed.sql","20260226120003_seed.sql"
"05","20260226120004","05_employee_profile_extension.sql","20260226120004_employee_profile_extension.sql"
"06","20260226120005","06_attendance_schema.sql","20260226120005_attendance_schema.sql"
"07","20260226120006","07_attendance_helper_functions.sql","20260226120006_attendance_helper_functions.sql"
"08","20260226120007","08_attendance_scheduler_logic.sql","20260226120007_attendance_scheduler_logic.sql"
"09","20260226120008","09_attendance_enhancements.sql","20260226120008_attendance_enhancements.sql"
"10","20260226120009","10_attendance_analytics.sql","20260226120009_attendance_analytics.sql"
"11","20260226120010","11_attendance_rls.sql","20260226120010_attendance_rls.sql"
"12","20260226120011","12_attendance_seed_permissions.sql","20260226120011_attendance_seed_permissions.sql"
"13","20260226120012","13_leave_management.sql","20260226120012_leave_management.sql"
"14","20260226120013","14_leave_engine_advanced.sql","20260226120013_leave_engine_advanced.sql"
"15","20260226120014","15_shift_rules_engine.sql","20260226120014_shift_rules_engine.sql"
"16","20260226120015","16_weekend_management.sql","20260226120015_weekend_management.sql"
"17","20260226120016","17_phase1_07_company_configuration.sql","20260226120016_phase1_07_company_configuration.sql"
"18","20260226120017","18_phase1_08_working_days_engine.sql","20260226120017_phase1_08_working_days_engine.sql"
"19","20260226120018","19_phase1_09_branch_management.sql","20260226120018_phase1_09_branch_management.sql"
"20","20260226120019","20_phase1_10_employee_portal_modules.sql","20260226120019_phase1_10_employee_portal_modules.sql"
"21","20260226120020","21_notification_engine.sql","20260226120020_notification_engine.sql"
"22","20260226120021","22_phase1_11_notification_email_engine.sql","20260226120021_phase1_11_notification_email_engine.sql"
"23","20260226120022","23_phase1_12_dashboard_views.sql","20260226120022_phase1_12_dashboard_views.sql"
"24","20260226120023","24_phase1_13_phase1_rls_hardening.sql","20260226120023_phase1_13_phase1_rls_hardening.sql"
"25","20260226120024","25_phase1_shift_governance_patch.sql","20260226120024_phase1_shift_governance_patch.sql"
"26","20260226120025","26_phase1_structural_integrity_patch.sql","20260226120025_phase1_structural_integrity_patch.sql"
"27","20260226120026","27_payroll_foundation.sql","20260226120026_payroll_foundation.sql"
"28","20260226120027","28_payroll_engine.sql","20260226120027_payroll_engine.sql"
"29","20260226120028","29_salary_ledger_engine.sql","20260226120028_salary_ledger_engine.sql"
"30","20260226120029","30_phase2_01_salary_structure.sql","20260226120029_phase2_01_salary_structure.sql"
"31","20260226120030","31_phase2_02_payroll_months.sql","20260226120030_phase2_02_payroll_months.sql"
"32","20260226120031","32_phase2_03_payroll_entries.sql","20260226120031_phase2_03_payroll_entries.sql"
"33","20260226120032","33_phase2_04_salary_ledger.sql","20260226120032_phase2_04_salary_ledger.sql"
"34","20260226120033","34_phase2_05_payslip_engine.sql","20260226120033_phase2_05_payslip_engine.sql"
"35","20260226120034","35_phase2_06_payroll_rls.sql","20260226120034_phase2_06_payroll_rls.sql"
"36","20260226120035","36_phase2_correction_patch.sql","20260226120035_phase2_correction_patch.sql"
"37","20260226120036","37_phase2_salary_governance_patch.sql","20260226120036_phase2_salary_governance_patch.sql"
"38","20260226120037","38_system_global_alignment_patch.sql","20260226120037_system_global_alignment_patch.sql"
"39","20260226120038","39_hierarchy_alignment_patch.sql","20260226120038_hierarchy_alignment_patch.sql"
"40","20260226120039","40_hierarchy_alignment_correction.sql","20260226120039_hierarchy_alignment_correction.sql"
"41","20260226120040","41_phase1_phase2_company_consistency_patch.sql","20260226120040_phase1_phase2_company_consistency_patch.sql"
"42","20260226120041","42_system_alignment_verification_report.sql","20260226120041_system_alignment_verification_report.sql"
"43","20260226120042","43_phase1_notification_structural_patch.sql","20260226120042_phase1_notification_structural_patch.sql"
"44","20260226120043","44_attendance_integrity_patch.sql","20260226120043_attendance_integrity_patch.sql"
"45","20260226120044","45_leave_integrity_patch.sql","20260226120044_leave_integrity_patch.sql"
"46","20260226120045","46_payroll_integrity_patch.sql","20260226120045_payroll_integrity_patch.sql"
"47","20260226120046","47_ledger_reconciliation_patch.sql","20260226120046_ledger_reconciliation_patch.sql"
"48","20260226120047","48_employee_lifecycle_patch.sql","20260226120047_employee_lifecycle_patch.sql"
"49","20260226120048","49_employee_manager_history.sql","20260226120048_employee_manager_history.sql"
"50","20260226120049","50_employee_tag_engine.sql","20260226120049_employee_tag_engine.sql"
"51","20260226120050","51_employee_profile_completeness.sql","20260226120050_employee_profile_completeness.sql"
"52","20260226120051","52_employee_probation_tracking.sql","20260226120051_employee_probation_tracking.sql"
"53","20260226120052","53_employee_reliability_engine.sql","20260226120052_employee_reliability_engine.sql"
"54","20260226120053","54_supervisor_feedback_system.sql","20260226120053_supervisor_feedback_system.sql"
"55","20260226120054","55_employee_kudos_system.sql","20260226120054_employee_kudos_system.sql"
"56","20260226120055","56_internal_transfer_promotion_tracking.sql","20260226120055_internal_transfer_promotion_tracking.sql"
"57","20260226120056","57_workforce_analytics_views.sql","20260226120056_workforce_analytics_views.sql"
"58","20260226120057","58_attendance_correction_rejection_reason.sql","20260226120057_attendance_correction_rejection_reason.sql"
"59","20260226120058","59_atomic_approval_wrappers.sql","20260226120058_atomic_approval_wrappers.sql"
"60","20260226120059","60_governance_hardening.sql","20260226120059_governance_hardening.sql"
"61","20260226120100","61_idempotency_enforcement.sql","20260226120100_idempotency_enforcement.sql"
"62","20260226120101","62_payroll_immutability.sql","20260226120101_payroll_immutability.sql"
"63","20260226120102","63_rate_limiting.sql","20260226120102_rate_limiting.sql"
"64","20260226120103","64_request_tracing.sql","20260226120103_request_tracing.sql"
"65","20260226120104","65_project_module_schema.sql","20260226120104_project_module_schema.sql"
"66","20260226120105","66_project_module_atomic_rpcs.sql","20260226120105_project_module_atomic_rpcs.sql"
"67","20260226120106","67_manage_projects_permission.sql","20260226120106_manage_projects_permission.sql"
"68","20260226120107","68_project_task_membership_guard.sql","20260226120107_project_task_membership_guard.sql"
"69","20260226120108","69_soft_delete_rls_hardening.sql","20260226120108_soft_delete_rls_hardening.sql"
"70","20260226120109","70_soft_delete_employees_select_self.sql","20260226120109_soft_delete_employees_select_self.sql"
"71","20260226120110","71_soft_delete_disable_hard_delete.sql","20260226120110_soft_delete_disable_hard_delete.sql"
"72","20260226120111","72_soft_delete_index_hardening.sql","20260226120111_soft_delete_index_hardening.sql"
"73","20260226120112","73_approval_indexes_request_traces.sql","20260226120112_approval_indexes_request_traces.sql"
"74","20260226120113","74_payroll_run_atomic.sql","20260226120113_payroll_run_atomic.sql"
"75","20260226120114","75_rate_limit_sharding.sql","20260226120114_rate_limit_sharding.sql"
"76","20260226120115","76_request_trace_partitioning.sql","20260226120115_request_trace_partitioning.sql"
"77","20260226120116","77_access_review_engine.sql","20260226120116_access_review_engine.sql"
"78","20260226120117","78_audit_log_immutability.sql","20260226120117_audit_log_immutability.sql"
"79","20260226120118","79_operational_monitoring_views.sql","20260226120118_operational_monitoring_views.sql"
"80","20260226120119","80_auth_rate_limit_engine.sql","20260226120119_auth_rate_limit_engine.sql"
"81","20260226120120","81_auth_rate_limit_policies.sql","20260226120120_auth_rate_limit_policies.sql"
"82","20260226120121","82_auth_rate_limit_select_revoke.sql","20260226120121_auth_rate_limit_select_revoke.sql"
"83","20260226120122","83_rls_regression_scanner.sql","20260226120122_rls_regression_scanner.sql"
"84","20260226120123","84_soc2_control_mapping.sql","20260226120123_soc2_control_mapping.sql"
"85","20260226120124","85_operational_sla_views.sql","20260226120124_operational_sla_views.sql"
"86","20260226120125","86_data_retention_engine.sql","20260226120125_data_retention_engine.sql"
"87","20260226120126","87_pen_test_checklist.sql","20260226120126_pen_test_checklist.sql"
"88","20260226120127","88_auth_rate_limit_tenant_attribution.sql","20260226120127_auth_rate_limit_tenant_attribution.sql"
"90","20260226120128","90_device_fingerprint_engine.sql","20260226120128_device_fingerprint_engine.sql"
"91","20260226120129","91_login_events_engine.sql","20260226120129_login_events_engine.sql"
"92","20260226120130","92_account_lock_audit.sql","20260226120130_account_lock_audit.sql"
"93","20260226120131","93_security_intelligence_views.sql","20260226120131_security_intelligence_views.sql"
"94","20260226120132","94_geo_velocity_risk_patch.sql","20260226120132_geo_velocity_risk_patch.sql"
"95","20260226120133","95_adaptive_mfa_triggers.sql","20260226120133_adaptive_mfa_triggers.sql"
"96","20260226120134","96_security_audit_export_view.sql","20260226120134_security_audit_export_view.sql"
"97","20260226120135","97_mfa_triggers_immutability.sql","20260226120135_mfa_triggers_immutability.sql"
"98","20260226120136","98_security_performance_indexes.sql","20260226120136_security_performance_indexes.sql"
"99","20260226120137","99_mfa_trigger_dedup_lock.sql","20260226120137_mfa_trigger_dedup_lock.sql"
"100","20260226120138","100_security_export_hardening.sql","20260226120138_security_export_hardening.sql"
"101","20260226120139","101_auth_sessions.sql","20260226120139_auth_sessions.sql"
"102","20260226120140","102_auth_session_retention.sql","20260226120140_auth_session_retention.sql"
"103","20260226120141","103_employee_profile_personal_details.sql","20260226120141_employee_profile_personal_details.sql"
"104","20260226120142","104_employee_sensitive_data.sql","20260226120142_employee_sensitive_data.sql"
"105","20260226120143","105_employee_documents_family.sql","20260226120143_employee_documents_family.sql"
"106","20260226120144","106_overtime_requests.sql","20260226120144_overtime_requests.sql"
"107","20260226120145","107_document_vault.sql","20260226120145_document_vault.sql"
